date,store_number,store_name,city,county,sales
2022-01-23,2665,Hy-Vee / Waukee,Waukee,DALLAS,32377.03
2022-01-30,2665,Hy-Vee / Waukee,Waukee,DALLAS,37940.23
2022-02-06,2665,Hy-Vee / Waukee,Waukee,DALLAS,29011.73
2022-01-09,2548,Hy-Vee Food Store / Altoona,Altoona,POLK,18683.12
2022-01-16,2548,Hy-Vee Food Store / Altoona,Altoona,POLK,39951.46
2022-01-23,2548,Hy-Vee Food Store / Altoona,Altoona,POLK,27722.53
2022-01-30,2548,Hy-Vee Food Store / Altoona,Altoona,POLK,12486.42
2022-02-06,2548,Hy-Vee Food Store / Altoona,Altoona,POLK,34331.04
2022-01-09,2593,Hy-Vee Food Store / Carroll,Carroll,CARROLL,19430.85
2022-01-16,2593,Hy-Vee Food Store / Carroll,Carroll,CARROLL,17377.21
2022-01-23,2593,Hy-Vee Food Store / Carroll,Carroll,CARROLL,30642.65
2022-01-30,2593,Hy-Vee Food Store / Carroll,Carroll,CARROLL,30635.24
2022-02-06,2593,Hy-Vee Food Store / Carroll,Carroll,CARROLL,15504.46
2022-01-09,2616,Hy-Vee Food and Drug / Clinton,Clinton,CLINTON,28081.48
2022-01-16,2616,Hy-Vee Food and Drug / Clinton,Clinton,CLINTON,18270.1
2022-01-23,2616,Hy-Vee Food and Drug / Clinton,Clinton,CLINTON,15071.07
2022-01-30,2616,Hy-Vee Food and Drug / Clinton,Clinton,CLINTON,18142.68
2022-02-06,2616,Hy-Vee Food and Drug / Clinton,Clinton,CLINTON,22731.25
2022-01-09,2595,Hy-Vee Wine and Spirits / Denison,Denison,CRAWFORD,4687.51
2022-01-16,2595,Hy-Vee Wine and Spirits / Denison,Denison,CRAWFORD,5438.44
2022-01-23,2595,Hy-Vee Wine and Spirits / Denison,Denison,CRAWFORD,7138.02
2022-01-30,2595,Hy-Vee Wine and Spirits / Denison,Denison,CRAWFORD,6428.39
2022-02-06,2595,Hy-Vee Wine and Spirits / Denison,Denison,CRAWFORD,14519.42
2022-01-09,2624,Hy-Vee #2 / Dubuque,Dubuque,DUBUQUE,9026.04
2022-01-16,2624,Hy-Vee #2 / Dubuque,Dubuque,DUBUQUE,15292.81
2022-01-23,2624,Hy-Vee #2 / Dubuque,Dubuque,DUBUQUE,21501.69
2022-01-30,2624,Hy-Vee #2 / Dubuque,Dubuque,DUBUQUE,20874.09
2022-02-06,2624,Hy-Vee #2 / Dubuque,Dubuque,DUBUQUE,32956.46
2022-01-09,2649,Hy-Vee #3 / Dubuque,Dubuque,DUBUQUE,11919.61
2022-01-16,2649,Hy-Vee #3 / Dubuque,Dubuque,DUBUQUE,12875.2
2022-01-23,2649,Hy-Vee #3 / Dubuque,Dubuque,DUBUQUE,10964.49
2022-01-30,2649,Hy-Vee #3 / Dubuque,Dubuque,DUBUQUE,14444.69
2022-02-06,2649,Hy-Vee #3 / Dubuque,Dubuque,DUBUQUE,18442.61
2022-01-09,3944,Sam's Club 4973 / Dubuque,Dubuque,DUBUQUE,60891.2
2022-01-16,3944,Sam's Club 4973 / Dubuque,Dubuque,DUBUQUE,8019.6
